dataset,family,config,is_finance,status,terminal_classification,n,m,density,density_regime,m_times_n,m_squared,runtime_total_sec,runtime_phaseA_sec,runtime_phaseB_sec,runtime_phaseC_sec,runtime_mincut_sec,break_reason
Basketball_temporal/2007,Basketball_coarse,A0,false,complete,SUCCESS,336,3974,0.035305614783226726,sparse_<0.05,1335264.0,15792676.0,0.19622063636779785,0.16547012329101562,4.0531158447265625e-06,0.0013427734375,0.0,phase_b_disabled
Basketball_temporal/2007,Basketball_coarse,A2,false,complete,SUCCESS,336,3974,0.035305614783226726,sparse_<0.05,1335264.0,15792676.0,0.4539504051208496,0.1683056354522705,0.0888981819152832,0.0015749931335449219,0.0,exhausted
Basketball_temporal/2007,Basketball_coarse,A4,false,complete,SUCCESS,336,3974,0.035305614783226726,sparse_<0.05,1335264.0,15792676.0,0.5904037952423096,0.16873955726623535,0.09016299247741699,0.12548017501831055,0.0,exhausted
Basketball_temporal/2007,Basketball_coarse,A6,false,complete,SUCCESS,336,3974,0.035305614783226726,sparse_<0.05,1335264.0,15792676.0,3.5101847648620605,0.16301488876342773,0.08868169784545898,0.12186837196350098,2.9387190341949463,exhausted
Basketball_temporal/2008,Basketball_coarse,A0,false,complete,SUCCESS,342,4051,0.03473615612834628,sparse_<0.05,1385442.0,16410601.0,0.17309808731079102,0.1412057876586914,1.9073486328125e-06,0.0013527870178222656,0.0,phase_b_disabled
Basketball_temporal/2008,Basketball_coarse,A2,false,complete,SUCCESS,342,4051,0.03473615612834628,sparse_<0.05,1385442.0,16410601.0,0.4140172004699707,0.14201903343200684,0.09760618209838867,0.0016252994537353516,0.0,exhausted
Basketball_temporal/2008,Basketball_coarse,A4,false,complete,SUCCESS,342,4051,0.03473615612834628,sparse_<0.05,1385442.0,16410601.0,0.6342606544494629,0.16919422149658203,0.1098334789276123,0.1344282627105713,0.0,exhausted
Basketball_temporal/2008,Basketball_coarse,A6,false,complete,SUCCESS,342,4051,0.03473615612834628,sparse_<0.05,1385442.0,16410601.0,4.989521265029907,0.14460229873657227,0.09683036804199219,0.12500929832458496,4.4483091831207275,exhausted
Basketball_temporal/2009,Basketball_coarse,A0,false,complete,SUCCESS,347,4155,0.034607119654844996,sparse_<0.05,1441785.0,17264025.0,0.22005796432495117,0.1870739459991455,1.9073486328125e-06,0.0014102458953857422,0.0,phase_b_disabled
Basketball_temporal/2009,Basketball_coarse,A2,false,complete,SUCCESS,347,4155,0.034607119654844996,sparse_<0.05,1441785.0,17264025.0,0.5037810802459717,0.19103360176086426,0.08876323699951172,0.0016973018646240234,0.0,exhausted
Basketball_temporal/2009,Basketball_coarse,A4,false,complete,SUCCESS,347,4155,0.034607119654844996,sparse_<0.05,1441785.0,17264025.0,0.6444449424743652,0.19485950469970703,0.09119868278503418,0.13074183464050293,0.0,exhausted
Basketball_temporal/2009,Basketball_coarse,A6,false,complete,SUCCESS,347,4155,0.034607119654844996,sparse_<0.05,1441785.0,17264025.0,4.141282558441162,0.18581867218017578,0.08723759651184082,0.1239933967590332,3.523216485977173,exhausted
Basketball_temporal/2010,Basketball_coarse,A0,false,complete,SUCCESS,347,4133,0.03442388099481934,sparse_<0.05,1434151.0,17081689.0,0.18632864952087402,0.15245914459228516,1.9073486328125e-06,0.0014407634735107422,0.0,phase_b_disabled
Basketball_temporal/2010,Basketball_coarse,A2,false,complete,SUCCESS,347,4133,0.03442388099481934,sparse_<0.05,1434151.0,17081689.0,0.428957462310791,0.1517653465270996,0.0917060375213623,0.0016655921936035156,0.0,exhausted
Basketball_temporal/2010,Basketball_coarse,A4,false,complete,SUCCESS,347,4133,0.03442388099481934,sparse_<0.05,1434151.0,17081689.0,0.6764535903930664,0.1563863754272461,0.09465837478637695,0.23401975631713867,0.0,exhausted
Basketball_temporal/2010,Basketball_coarse,A6,false,complete,SUCCESS,347,4133,0.03442388099481934,sparse_<0.05,1434151.0,17081689.0,4.463343143463135,0.15029621124267578,0.09093403816223145,0.1223897933959961,3.9135308265686035,exhausted
Basketball_temporal/2011,Basketball_coarse,A0,false,complete,SUCCESS,345,4086,0.034428715874620826,sparse_<0.05,1409670.0,16695396.0,0.18644213676452637,0.15308260917663574,1.6689300537109375e-06,0.0014183521270751953,0.0,phase_b_disabled
Basketball_temporal/2011,Basketball_coarse,A2,false,complete,SUCCESS,345,4086,0.034428715874620826,sparse_<0.05,1409670.0,16695396.0,0.43306994438171387,0.15209317207336426,0.09547281265258789,0.00164031982421875,0.0,exhausted
Basketball_temporal/2011,Basketball_coarse,A4,false,complete,SUCCESS,345,4086,0.034428715874620826,sparse_<0.05,1409670.0,16695396.0,0.5686798095703125,0.15837693214416504,0.09583830833435059,0.12636733055114746,0.0,exhausted
Basketball_temporal/2011,Basketball_coarse,A6,false,complete,SUCCESS,345,4086,0.034428715874620826,sparse_<0.05,1409670.0,16695396.0,4.892117023468018,0.15080642700195312,0.09391093254089355,0.12333202362060547,4.338396310806274,exhausted
Basketball_temporal/2012,Basketball_coarse,A0,false,complete,SUCCESS,345,4126,0.034765756656555444,sparse_<0.05,1423470.0,17023876.0,0.18720602989196777,0.15453100204467773,2.1457672119140625e-06,0.0014312267303466797,0.0,phase_b_disabled
Basketball_temporal/2012,Basketball_coarse,A2,false,complete,SUCCESS,345,4126,0.034765756656555444,sparse_<0.05,1423470.0,17023876.0,0.4325292110443115,0.15175366401672363,0.09403276443481445,0.0016622543334960938,0.0,exhausted
Basketball_temporal/2012,Basketball_coarse,A4,false,complete,SUCCESS,345,4126,0.034765756656555444,sparse_<0.05,1423470.0,17023876.0,0.5631849765777588,0.15479445457458496,0.0937042236328125,0.1255042552947998,0.0,exhausted
Basketball_temporal/2012,Basketball_coarse,A6,false,complete,SUCCESS,345,4126,0.034765756656555444,sparse_<0.05,1423470.0,17023876.0,5.423465251922607,0.15054059028625488,0.09255814552307129,0.12181830406188965,4.873133659362793,exhausted
