baseline,metric,scope,family,n,wins,ties,losses,mean_delta,median_delta,ci_lo,ci_hi,ci_excludes_zero
rankCentrality,upset_simple,per_family,Football_finer,6,6,0,0,-0.8400064031283061,-0.8462388515472413,-0.9437201692163945,-0.7323542316754659,True
rankCentrality,upset_simple,per_family,Halo,1,1,0,0,-1.121348810195923,-1.121348810195923,-1.121348810195923,-1.121348810195923,True
rankCentrality,upset_naive,per_dataset_all,ALL,77,77,0,0,-0.2669520393110715,-0.2539393872022629,-0.283362014038706,-0.25076834509608814,True
rankCentrality,upset_naive,per_family,Animal,1,1,0,0,-0.3962264209985733,-0.3962264209985733,-0.3962264209985733,-0.3962264209985733,True
rankCentrality,upset_naive,per_family,Basketball_coarse,30,30,0,0,-0.32768029918273295,-0.3251071721315384,-0.3347921936263641,-0.3212288213546077,True
rankCentrality,upset_naive,per_family,Basketball_finer,30,30,0,0,-0.1976280795534452,-0.19725719094276428,-0.20213469976186746,-0.19316417944679656,True
rankCentrality,upset_naive,per_family,Faculty,3,3,0,0,-0.4318948296209177,-0.4383084587752819,-0.4431063115596772,-0.41426971852779393,True
rankCentrality,upset_naive,per_family,Football_coarse,6,6,0,0,-0.2391056055823962,-0.21710395514965058,-0.2855977863073349,-0.1984523599346479,True
rankCentrality,upset_naive,per_family,Football_finer,6,6,0,0,-0.23152898649374642,-0.2405336245894432,-0.264205539226532,-0.19427554011344908,True
rankCentrality,upset_naive,per_family,Halo,1,1,0,0,-0.2803372025489807,-0.2803372025489807,-0.2803372025489807,-0.2803372025489807,True
rankCentrality,upset_ratio,per_dataset_all,ALL,77,77,0,0,-0.5965824202477158,-0.611771821975708,-0.6337275131220942,-0.5570606552674012,True
rankCentrality,upset_ratio,per_family,Animal,1,1,0,0,-0.9363122880458832,-0.9363122880458832,-0.9363122880458832,-0.9363122880458832,True
rankCentrality,upset_ratio,per_family,Basketball_coarse,30,30,0,0,-0.7608472975095114,-0.765580415725708,-0.774902222275734,-0.7465279577275118,True
rankCentrality,upset_ratio,per_family,Basketball_finer,30,30,0,0,-0.4295622664193312,-0.4306369423866272,-0.4361550858865182,-0.4226207061608632,True
rankCentrality,upset_ratio,per_family,Faculty,3,3,0,0,-0.8256211280822754,-0.7935913443565368,-0.9246312618255614,-0.7586407780647276,True
rankCentrality,upset_ratio,per_family,Football_coarse,6,6,0,0,-0.603211928407351,-0.6139125645160673,-0.6773287902275721,-0.5120405733585357,True
rankCentrality,upset_ratio,per_family,Football_finer,6,6,0,0,-0.4587790653109551,-0.47274204790592195,-0.5419612298409143,-0.37045995096365614,True
rankCentrality,upset_ratio,per_family,Halo,1,1,0,0,-0.4394378066062927,-0.4394378066062927,-0.4394378066062927,-0.4394378066062927,True
serialRank,upset_simple,per_dataset_all,ALL,77,75,0,2,-0.9483501729640094,-0.8581241369247437,-1.0384245159080276,-0.8542710495353132,True
serialRank,upset_simple,per_family,Animal,1,1,0,0,-1.6786163210868836,-1.6786163210868836,-1.6786163210868836,-1.6786163210868836,True
